id,id_oferta,titulo_oferta,ocupacion_esco,isco_code,skill_mencionado,skill_tipo_fuente,esco_skill_uri,esco_skill_label,esco_skill_type,esco_skill_reusability,is_essential,is_optional,match_method,matching_version
32,2133690,Vendedores Convencionales de Autos 0KM,vendedor de piezas de repuesto de automóviles/vendedora de piezas de repuesto de automóviles,C5223,buena presencia,nlp_extraction,http://data.europa.eu/esco/skill/f60416d5-2d98-4401-ba0d-b92b53e01d86,llevar un registro de las existencias,skill,,1,0,exact,v8.3_esco_familias_funcionales
30,2133690,Vendedores Convencionales de Autos 0KM,vendedor de piezas de repuesto de automóviles/vendedora de piezas de repuesto de automóviles,C5223,capacidad de negociacion,nlp_extraction,http://data.europa.eu/esco/skill/3cd35f5d-ce6d-4f14-9a09-53d7a28d834c,mantener la relación con los proveedores,skill,,1,0,exact,v8.3_esco_familias_funcionales
31,2133690,Vendedores Convencionales de Autos 0KM,vendedor de piezas de repuesto de automóviles/vendedora de piezas de repuesto de automóviles,C5223,cierre de venta,nlp_extraction,http://data.europa.eu/esco/skill/e518e5fc-3c8f-49fa-a090-7754e96a8ea9,vender piezas de vehículos,skill,,1,0,exact,v8.3_esco_familias_funcionales
29,2133690,Vendedores Convencionales de Autos 0KM,vendedor de piezas de repuesto de automóviles/vendedora de piezas de repuesto de automóviles,C5223,perfil comercial,nlp_extraction,http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae,mantener la relación con los clientes,skill,,1,0,exact,v8.3_esco_familias_funcionales
28,2133690,Vendedores Convencionales de Autos 0KM,vendedor de piezas de repuesto de automóviles/vendedora de piezas de repuesto de automóviles,C5223,venta,nlp_extraction,http://data.europa.eu/esco/skill/e518e5fc-3c8f-49fa-a090-7754e96a8ea9,vender piezas de vehículos,skill,,1,0,exact,v8.3_esco_familias_funcionales
33,2133690,Vendedores Convencionales de Autos 0KM,vendedor de piezas de repuesto de automóviles/vendedora de piezas de repuesto de automóviles,C5223,capacitación,nlp_extraction,http://data.europa.eu/esco/skill/f929c89e-c363-4132-a918-e021d57b307c,gestión de la cadena de suministro,skill,,0,1,exact,v8.3_esco_familias_funcionales
35,2133690,Vendedores Convencionales de Autos 0KM,vendedor de piezas de repuesto de automóviles/vendedora de piezas de repuesto de automóviles,C5223,organizacion,nlp_extraction,http://data.europa.eu/esco/skill/40f65a56-ccbe-4601-9f32-1cc6cdd24f28,gestión de residuos,skill,,0,1,exact,v8.3_esco_familias_funcionales
36,2133690,Vendedores Convencionales de Autos 0KM,vendedor de piezas de repuesto de automóviles/vendedora de piezas de repuesto de automóviles,C5223,organizacion,nlp_extraction,http://data.europa.eu/esco/skill/40f65a56-ccbe-4601-9f32-1cc6cdd24f28,gestión de residuos,skill,,0,1,exact,v8.3_esco_familias_funcionales
34,2133690,Vendedores Convencionales de Autos 0KM,vendedor de piezas de repuesto de automóviles/vendedora de piezas de repuesto de automóviles,C5223,trabajo en equipo,nlp_extraction,http://data.europa.eu/esco/skill/a5b0cd5c-e13a-4ab3-8d93-4d242adcfb01,principios del trabajo en equipo,skill,,0,1,exact,v8.3_esco_familias_funcionales
37,2135143,Operador SIM – Analista de IMPORTACION,analista de datos en centro de llamadas,C3341,excel,nlp_extraction,http://data.europa.eu/esco/skill/0d6714c6-720e-4985-9791-5ab85d28da79,extraer datos,skill,,1,0,exact,v8.3_esco_familias_funcionales
38,2135143,Operador SIM – Analista de IMPORTACION,analista de datos en centro de llamadas,C3341,proactiva,nlp_extraction,http://data.europa.eu/esco/skill/be727774-46d7-43d7-aee9-1a51b5cd8c71,realizar predicciones estadísticas,skill,,1,0,exact,v8.3_esco_familias_funcionales
41,2143169,Operario de Mantenimiento full time,operario de máquinas de embalaje y llenado/operaria de máquinas de embalaje y llenado,C8183,limpieza,nlp_extraction,http://data.europa.eu/esco/skill/5521fcf8-80fa-489b-af18-a69823b85702,limpiar máquinas para la fabricación de alimentos y bebidas,skill,,1,0,exact,v8.3_esco_familias_funcionales
40,2143169,Operario de Mantenimiento full time,operario de máquinas de embalaje y llenado/operaria de máquinas de embalaje y llenado,C8183,mantenimiento general,nlp_extraction,http://data.europa.eu/esco/skill/188048ff-18bf-43c4-a1a0-7adb6e68f421,controlar las operaciones de las máquinas,skill,,1,0,exact,v8.3_esco_familias_funcionales
39,2143169,Operario de Mantenimiento full time,operario de máquinas de embalaje y llenado/operaria de máquinas de embalaje y llenado,C8183,mecánica automotriz,nlp_extraction,http://data.europa.eu/esco/skill/188048ff-18bf-43c4-a1a0-7adb6e68f421,controlar las operaciones de las máquinas,skill,,1,0,exact,v8.3_esco_familias_funcionales
42,2143169,Operario de Mantenimiento full time,operario de máquinas de embalaje y llenado/operaria de máquinas de embalaje y llenado,C8183,responsabilidad,nlp_extraction,http://data.europa.eu/esco/skill/aa238394-8126-4ada-be2f-9dfe065cf314,respetar las directrices de la organización,skill,,1,0,exact,v8.3_esco_familias_funcionales
43,2143169,Operario de Mantenimiento full time,operario de máquinas de embalaje y llenado/operaria de máquinas de embalaje y llenado,C8183,responsable,nlp_extraction,http://data.europa.eu/esco/skill/aa238394-8126-4ada-be2f-9dfe065cf314,respetar las directrices de la organización,skill,,1,0,exact,v8.3_esco_familias_funcionales
